   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810          tsl         lockdu  
  260.0      562.33     574.77      0.06       0.06       8.39       8.38      -5.06      -5.05        0          0         11:49:18         12    
  260.0      574.15     574.15      0.06       0.06       8.38       8.38      -5.05      -5.05        0          0         11:50:23         0     
  320.0      567.43     567.43      0.06       0.06       8.38       8.38      -5.05      -5.05        0          0         11:55:17         0     
  320.0      567.78     567.78      0.06       0.06       8.38       8.38      -5.05      -5.05        0          0         11:56:09         0     
  360.0      546.27     566.19      0.06       0.06       8.38       8.37      -5.05      -5.02        1          1         12:00:16        320    
  360.0      566.46     566.46      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:06:31         0     
  360.0      577.62     577.62      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:07:23         0     
  374.0      563.04     577.53      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:11:32         4     
  380.0      565.29     565.29      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:15:50         0     
  386.0      568.49     568.49      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:19:48         0     
  400.0      569.43     569.43      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:23:40         0     
  440.0      590.32     590.32      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:27:51         0     
  440.0      582.57     582.57      0.06       0.06       8.37       8.37      -5.02      -5.02        0          0         12:28:43         0     
  500.0      552.01     584.87      0.06       0.06       8.37       8.36      -5.02      -5.01        0          0         12:32:56         12    
