   freq     T780lbf    T780laft   T810lbf    T810laft    Vxbfl      Vxafl      Vybfl      Vyafl      ls780      ls810      w810sb         tsl         lockdu  
  264.0      740.27     850.75      0.05       0.06       8.13       8.07      -4.95      -4.94        6          6        470000      16:52:39        127    
  264.0      835.47     850.00      0.06       0.06       8.07       8.06      -4.94      -4.95        0          0        470000      16:55:32         29    
  354.0      809.42     853.17      0.06       0.06       8.06       8.04      -4.95      -4.93        2          2        470000      17:00:22         45    
  354.0      847.31     847.31      0.06       0.06       8.04       8.04      -4.93      -4.93        0          0        473000      17:01:55         0     
  354.0      838.35     875.04      0.06       0.06       8.04       8.0       -4.93      -4.93        4          4        476000      17:02:42         86    
  354.0      887.92     887.92      0.06       0.06       8.0        8.0       -4.93      -4.93        0          0        471000      17:04:55         0     
  354.0      867.35     867.35      0.06       0.06       8.0        8.0       -4.93      -4.93        0          0        471000      17:05:40         0     
  380.0      864.84     864.84      0.06       0.06       8.0        8.0       -4.93      -4.93        0          0        476000      17:10:01         0     
  380.0      859.45     859.45      0.06       0.06       8.0        8.0       -4.93      -4.93        0          0        476000      17:10:46         0     
  390.0      799.73     857.72      0.06       0.06       8.0        7.99      -4.93      -4.93        0          0        484000      17:15:10         38    
  390.0      828.24     866.35      0.06       0.06       7.99       7.98      -4.93      -4.94        2          2        479000      17:16:35         45    
  390.0      869.78     869.78      0.06       0.06       7.98       7.98      -4.94      -4.94        0          0        479000      17:18:05         0     
  424.0      837.26     866.67      0.06       0.06       7.98       7.98      -4.94      -4.94        0          0        483000      17:22:33         4     
  424.0      858.06     858.06      0.06       0.06       7.98       7.98      -4.94      -4.94        0          0        479000      17:23:24         0     
  424.0      846.40     846.40      0.06       0.06       7.98       7.98      -4.94      -4.94        0          0        479000      17:24:09         0     
